battery_id,cycle,component,value
B0005,310,IMF1,-0.31511146112259425
B0005,313,IMF1,0.30738426157018994
B0005,316,IMF1,-0.06956193717731074
B0005,320,IMF1,-0.16727361814677844
B0005,324,IMF1,-0.2180519087689276
B0005,328,IMF1,-0.15774733756697634
B0005,332,IMF1,-0.13565014125429942
B0005,336,IMF1,-0.08303005400769693
B0005,340,IMF1,-0.03988391236884037
B0005,344,IMF1,0.001835441747037619
B0005,348,IMF1,-0.012814947125210908
B0005,352,IMF1,0.008503155467921613
B0005,356,IMF1,-0.005948133980203473
B0005,360,IMF1,-0.04672445420701008
B0005,364,IMF1,0.030053491541573486
B0005,367,IMF1,0.1168573945560264
B0005,371,IMF1,0.029919827324733108
B0005,375,IMF1,-0.0003744678977647684
B0005,6,IMF2,0.14970600110025534
B0005,8,IMF2,0.16019285941616673
B0005,10,IMF2,0.16420928259172154
B0005,12,IMF2,0.1561591397367859
B0005,14,IMF2,0.13771508110735498
B0005,16,IMF2,0.11385514154942643
B0005,18,IMF2,0.09305030929760949
B0005,20,IMF2,0.0779950392788668
B0005,22,IMF2,0.057538876318425206
B0005,25,IMF2,0.03507620427386631
B0005,27,IMF2,0.01138143823910899
B0005,29,IMF2,-0.01831167006777758
B0005,31,IMF2,-0.06490485515252926
B0005,33,IMF2,-0.11474441884952558
B0005,35,IMF2,-0.13792022802928877
B0005,37,IMF2,-0.10613291351774476
B0005,39,IMF2,-0.018764936299795098
B0005,50,IMF2,0.085348574774045
B0005,54,IMF2,0.1255861183192279
B0005,58,IMF2,0.09479448050783179
B0005,62,IMF2,0.02786015929172602
B0005,66,IMF2,-0.037221106603926024
B0005,70,IMF2,-0.08735502902072866
B0005,74,IMF2,-0.10406035074208468
B0005,78,IMF2,-0.08322393946731925
B0005,82,IMF2,-0.03272062595277856
B0005,90,IMF2,0.026714805653239273
B0005,94,IMF2,0.05998016337474889
B0005,98,IMF2,0.06082431876223764
B0005,102,IMF2,0.035322812435960964
B0005,106,IMF2,0.009994971998947418
B0005,110,IMF2,-0.001906052441231596
B0005,114,IMF2,-0.013424284559840412
B0005,118,IMF2,-0.016703207306630708
B0005,122,IMF2,-0.00014322518264966614
B0005,126,IMF2,0.015945281030476804
B0005,130,IMF2,0.012765649704619087
B0005,134,IMF2,-0.013346934543789914
B0005,136,IMF2,-0.0387437464419089
B0005,140,IMF2,-0.046634642815524506
B0005,144,IMF2,-0.03701180967473823
B0005,148,IMF2,-0.004905734867046103
B0005,150,IMF2,0.039629135484117395
B0005,154,IMF2,0.0720404184945222
B0005,158,IMF2,0.08381428434952946
B0005,162,IMF2,0.07857578986210913
B0005,166,IMF2,0.05527387915292763
B0005,170,IMF2,0.013334041946325587
B0005,174,IMF2,-0.0284797962016568
B0005,178,IMF2,-0.052466502242923374
B0005,182,IMF2,-0.05017398825538729
B0005,186,IMF2,-0.031516144995084414
B0005,190,IMF2,-0.005971513797536985
B0005,194,IMF2,0.010418160095154772
B0005,198,IMF2,0.010902116341303067
B0005,202,IMF2,0.001441645473993655
B0005,206,IMF2,-0.005099841343836875
B0005,210,IMF2,-0.0012586006920466096
B0005,214,IMF2,0.0066316502435740075
B0005,216,IMF2,0.0052494507684289
B0005,220,IMF2,-0.0021617798460513682
B0005,224,IMF2,-0.008776546037695222
B0005,228,IMF2,-0.006854221902372753
B0005,232,IMF2,0.0008063131964941111
B0005,236,IMF2,0.008547975232054465
B0005,240,IMF2,0.0051064054590306985
B0005,244,IMF2,-0.009124524031928016
B0005,248,IMF2,-0.023831524077776303
B0005,252,IMF2,-0.028729149559209508
B0005,256,IMF2,-0.011754509733771347
B0005,260,IMF2,0.022994329478477384
B0005,264,IMF2,0.06899000272447069
B0005,266,IMF2,0.10441124188742668
B0005,270,IMF2,0.11124117982421144
B0005,274,IMF2,0.08057504729418559
B0005,278,IMF2,0.02027023545267219
B0005,282,IMF2,-0.05940472308274451
B0005,286,IMF2,-0.13896521910222456
B0005,290,IMF2,-0.20048915995771813
B0005,294,IMF2,-0.22935073536847975
B0005,298,IMF2,-0.21673522201442147
B0005,302,IMF2,-0.15616517621622578
B0005,306,IMF2,-0.04640905700766127
B0005,310,IMF2,0.08405974958696162
B0005,313,IMF2,0.1940906307593777
B0005,316,IMF2,0.23979481860176913
B0005,320,IMF2,0.22889315462051385
B0005,324,IMF2,0.17932053247970392
B0005,328,IMF2,0.11016769929808776
B0005,332,IMF2,0.04760744659706192
B0005,336,IMF2,-0.0001829155971416528
B0005,340,IMF2,-0.03708249388759265
B0005,344,IMF2,-0.06742645244298043
B0005,348,IMF2,-0.08661225359749158
B0005,352,IMF2,-0.09448909865821775
B0005,356,IMF2,-0.07156025431383216
B0005,360,IMF2,-0.023489242883600436
B0005,364,IMF2,0.031454154276393774
B0005,367,IMF2,0.06243676217527159
B0005,371,IMF2,0.04519847080926488
B0005,375,IMF2,-0.007724994472673195
B0005,6,IMF3,0.03220003764585731
B0005,8,IMF3,0.017585754246553436
B0005,10,IMF3,0.0035093744631442586
B0005,12,IMF3,-0.010050403954268749
B0005,14,IMF3,-0.022921694540389937
B0005,16,IMF3,-0.034884903430406025
B0005,18,IMF3,-0.045720436759501076
B0005,20,IMF3,-0.055208700662863375
B0005,22,IMF3,-0.06313010127567474
B0005,25,IMF3,-0.06926504473312459
B0005,27,IMF3,-0.07339393717039697
B0005,29,IMF3,-0.07529715397474515
B0005,31,IMF3,-0.07475354768669365
B0005,33,IMF3,-0.07153581237354514
B0005,35,IMF3,-0.06541312676961923
B0005,37,IMF3,-0.05623429960761635
B0005,39,IMF3,-0.044168806687252066
B0005,50,IMF3,-0.029466291139195588
B0005,54,IMF3,-0.012376396094119207
B0005,58,IMF3,0.006665822444652289
B0005,62,IMF3,0.026483656983170144
B0005,66,IMF3,0.045714987154832895
B0005,70,IMF3,0.06299769259304018
B0005,74,IMF3,0.07696549539194578
B0005,78,IMF3,0.086308186102999
B0005,82,IMF3,0.09000219219541492
B0005,90,IMF3,0.08710539394725927
B0005,94,IMF3,0.07671104643726333
B0005,98,IMF3,0.058292141858881624
B0005,102,IMF3,0.03303290716984011
B0005,106,IMF3,0.0034178138296776127
B0005,110,IMF3,-0.02783599328438018
B0005,114,IMF3,-0.05801136929510958
B0005,118,IMF3,-0.08438887733595794
B0005,122,IMF3,-0.10415173655222854
B0005,126,IMF3,-0.11416549030053565
B0005,130,IMF3,-0.11178136400740707
B0005,134,IMF3,-0.09667304045325695
B0005,136,IMF3,-0.07124797864471226
B0005,140,IMF3,-0.03838143393434927
B0005,144,IMF3,-0.0010999410930242147
B0005,148,IMF3,0.03731405536871267
B0005,150,IMF3,0.07352270605988026
B0005,154,IMF3,0.104198158393495
B0005,158,IMF3,0.12603345835660976
B0005,162,IMF3,0.13619338576983483
B0005,166,IMF3,0.13439999820669482
B0005,170,IMF3,0.12277408106643065
B0005,174,IMF3,0.10390444967885605
B0005,178,IMF3,0.08037989682978783
B0005,182,IMF3,0.05477383291640874
B0005,186,IMF3,0.029486498047759827
B0005,190,IMF3,0.0064879683445062215
B0005,194,IMF3,-0.012430889586103737
B0005,198,IMF3,-0.026426118354620113
B0005,202,IMF3,-0.03596006769613132
B0005,206,IMF3,-0.04290881737246893
B0005,210,IMF3,-0.04914587784013847
B0005,214,IMF3,-0.0558017144787335
B0005,216,IMF3,-0.06360691614535027
B0005,220,IMF3,-0.07218940171429288
B0005,224,IMF3,-0.08036760242904209
B0005,228,IMF3,-0.08703849751597244
B0005,232,IMF3,-0.09198721182320231
B0005,236,IMF3,-0.09556992306136684
B0005,240,IMF3,-0.0983367976514665
B0005,244,IMF3,-0.10110785497759861
B0005,248,IMF3,-0.10484652283246847
B0005,252,IMF3,-0.11049533785580275
B0005,256,IMF3,-0.11843932582610633
B0005,260,IMF3,-0.12749747749750556
B0005,264,IMF3,-0.1360988102764362
B0005,266,IMF3,-0.14266977531316904
B0005,270,IMF3,-0.1457313141156424
B0005,274,IMF3,-0.1443260270924223
B0005,278,IMF3,-0.13816577940506478
B0005,282,IMF3,-0.1271060717469777
B0005,286,IMF3,-0.11100288065339883
B0005,290,IMF3,-0.08971762345101159
B0005,294,IMF3,-0.06315204806263673
B0005,298,IMF3,-0.03170888951865004
B0005,302,IMF3,0.002606433965647761
B0005,306,IMF3,0.03738795551550479
B0005,310,IMF3,0.07022801167092377
B0005,313,IMF3,0.09871893897190566
B0005,316,IMF3,0.12045307395845452
B0005,320,IMF3,0.1333638281195829
B0005,324,IMF3,0.13698924438324964
B0005,328,IMF3,0.13217055585922982
B0005,332,IMF3,0.11999248194512041
B0005,336,IMF3,0.1015405306997529
B0005,340,IMF3,0.07790021018195736
B0005,344,IMF3,0.05015702845056485
B0005,348,IMF3,0.01939649356440322
B0005,352,IMF3,-0.013295886417692287
B0005,356,IMF3,-0.046624795799350874
B0005,360,IMF3,-0.07842345436219932
B0005,364,IMF3,-0.1059309200382767
B0005,367,IMF3,-0.1254378401025538
B0005,371,IMF3,-0.13389501240243815
B0005,375,IMF3,-0.13032466658387554
B0005,6,RES,1.0349956753017833
B0005,8,RES,1.0480237651053714
B0005,10,RES,1.0598141741678282
B0005,12,RES,1.0703713339440775
B0005,14,RES,1.079699675889047
B0005,16,RES,1.0878036314576631
B0005,18,RES,1.0946876321048529
B0005,20,RES,1.1003561092855427
B0005,22,RES,1.1048134944546582
B0005,25,RES,1.1080642190671275
B0005,27,RES,1.1101127145778757
B0005,29,RES,1.1109633816938977
B0005,31,RES,1.1106190982754578
B0005,33,RES,1.1090765837096013
B0005,35,RES,1.106329042050386
B0005,37,RES,1.1023691400192979
B0005,39,RES,1.0971895420810047
B0005,50,RES,1.090782912700174
B0005,54,RES,1.0831419163414717
B0005,58,RES,1.0742592174695662
B0005,62,RES,1.0641274805491243
B0005,66,RES,1.0527393700448129
B0005,70,RES,1.0400875504212985
B0005,74,RES,1.02616884368249
B0005,78,RES,1.0110033239362932
B0005,82,RES,0.9946417106179924
B0005,90,RES,0.9771325909153101
B0005,94,RES,0.9584894634215755
B0005,98,RES,0.9387167852715609
B0005,102,RES,0.9178189417840461
B0005,106,RES,0.8958003182778111
B0005,110,RES,0.8726653000716373
B0005,114,RES,0.8484182724843042
B0005,118,RES,0.8230636208345931
B0005,122,RES,0.7966057304412837
B0005,126,RES,0.7690489866231565
B0005,130,RES,0.7404001897137378
B0005,134,RES,0.7106758341642934
B0005,136,RES,0.6798949656758619
B0005,140,RES,0.6480790268072086
B0005,144,RES,0.6152589704558933
B0005,148,RES,0.5814683488901006
B0005,150,RES,0.5467405624199645
B0005,154,RES,0.5110990145516231
B0005,158,RES,0.4745302880896614
B0005,162,RES,0.43701181343851736
B0005,166,RES,0.39853350069197674
B0005,170,RES,0.3591352012452104
B0005,174,RES,0.31886933635872566
B0005,178,RES,0.27778834983702677
B0005,182,RES,0.23594468548461878
B0005,186,RES,0.19339078710600607
B0005,190,RES,0.15017909850569303
B0005,194,RES,0.10636206348818462
B0005,198,RES,0.0619921258579852
B0005,202,RES,0.017121729419599382
B0005,206,RES,-0.02819668202246826
B0005,210,RES,-0.07391066466371311
B0005,214,RES,-0.11996777469963069
B0005,216,RES,-0.16631556832571628
B0005,220,RES,-0.2129016017374654
B0005,224,RES,-0.25967343113037317
B0005,228,RES,-0.30657861269993564
B0005,232,RES,-0.3535647026416475
B0005,236,RES,-0.40057925715100456
B0005,240,RES,-0.44756983242350257
B0005,244,RES,-0.49448398465463594
B0005,248,RES,-0.5412692700399013
B0005,252,RES,-0.5878732447747932
B0005,256,RES,-0.6342434650548072
B0005,260,RES,-0.6803274870754392
B0005,264,RES,-0.7260728670321843
B0005,266,RES,-0.7714271611205379
B0005,270,RES,-0.816337925535995
B0005,274,RES,-0.8607529653842413
B0005,278,RES,-0.9046210968962457
B0005,282,RES,-0.9478914471512776
B0005,286,RES,-0.9905126673867737
B0005,290,RES,-1.032427968048729
B0005,294,RES,-1.0735661663127682
B0005,298,RES,-1.1138526038685166
B0005,302,RES,-1.1532126224055954
B0005,306,RES,-1.1915715636136262
B0005,310,RES,-1.2288547691822336
B0005,313,RES,-1.2649875808010391
B0005,316,RES,-1.2998953401596665
B0005,320,RES,-1.333504219923755
B0005,324,RES,-1.3657483341623742
B0005,328,RES,-1.3965818865792632
B0005,332,RES,-1.4259668530224476
B0005,336,RES,-1.4538659980011843
B0005,340,RES,-1.48024208602473
B0005,344,RES,-1.505057881602342
B0005,348,RES,-1.528276149243278
B0005,352,RES,-1.5498596534567946
B0005,356,RES,-1.5697711587521486
B0005,360,RES,-1.5879734296385968
B0005,364,RES,-1.6044292306253984
B0005,367,RES,-1.619101326221809
B0005,371,RES,-1.6319524809370851
B0005,375,RES,-1.6429538538600448
B0006,6,IMF1,0.06473383826598385
B0006,8,IMF1,0.014818460564421402
B0006,10,IMF1,-0.11684028863460853
B0006,12,IMF1,0.02920363240746972
B0006,14,IMF1,0.11544849553167405
B0006,16,IMF1,-0.12233579210437795
B0006,18,IMF1,0.06957658327884739
B0006,20,IMF1,0.16081602553474042
B0006,22,IMF1,0.22152546989622848
B0006,25,IMF1,0.2544974450264552
B0006,27,IMF1,0.24518352457244078
B0006,29,IMF1,0.1973648295335033
B0006,31,IMF1,0.11537409873231616
B0006,33,IMF1,-0.009102213250737656
B0006,35,IMF1,-0.16210714297951628
B0006,37,IMF1,-0.34685234333335
B0006,39,IMF1,-0.4649858459646169
B0006,42,IMF1,0.4104989910675888
B0006,46,IMF1,0.11710947665648867
B0006,50,IMF1,-0.02235908021497016
B0006,54,IMF1,-0.1754696975959884
B0006,58,IMF1,0.13322992211978602
B0006,62,IMF1,-0.1236810410994956
B0006,66,IMF1,-0.18286951482065794
B0006,70,IMF1,-0.16303735906987327
B0006,74,IMF1,-0.22126541248271636
B0006,78,IMF1,-0.3237623202852373
B0006,82,IMF1,-0.25934167318006407
B0006,86,IMF1,0.3290695057991766
B0006,90,IMF1,0.011793756698345098
B0006,94,IMF1,-0.09101844311398814
B0006,98,IMF1,-0.06066856381483539
B0006,102,IMF1,-0.08352162945737307
B0006,106,IMF1,0.018819661734285925
B0006,110,IMF1,0.011767580953480983
B0006,114,IMF1,-0.00966986783762643
B0006,118,IMF1,0.0015520472978976486
B0006,122,IMF1,-0.00967055190446947
B0006,126,IMF1,-0.03431063696710692
B0006,130,IMF1,-0.0817102140267602
B0006,134,IMF1,0.09211904063229216
B0006,136,IMF1,0.20792750065300106
B0006,140,IMF1,-0.09830062720760599
B0006,144,IMF1,-0.3221820597828145
B0006,148,IMF1,-0.4729512687348016
B0006,150,IMF1,0.5628117427732762
B0006,154,IMF1,0.38104682522320044
B0006,158,IMF1,0.06334141376893714
B0006,162,IMF1,-0.2302302353333984
B0006,166,IMF1,-0.3729889506714263
B0006,170,IMF1,-0.5546401740942111
B0006,174,IMF1,-0.6322133823562166
B0006,178,IMF1,-0.7476320443832174
B0006,182,IMF1,-0.8122446797325809
B0006,186,IMF1,-0.8721295903974363
B0006,190,IMF1,-0.9198082571178655
B0006,194,IMF1,-0.9762643402916853
B0006,198,IMF1,-1.0317507097388054
B0006,202,IMF1,-1.1715921462965853
B0006,6,IMF2,0.4987310352881634
B0006,8,IMF2,0.5454750010180274
B0006,10,IMF2,0.5629155674876078
B0006,12,IMF2,0.5410033205566313
B0006,14,IMF2,0.4545289720321919
B0006,16,IMF2,0.30339780466414423
B0006,18,IMF2,0.11768507815686034
B0006,20,IMF2,-0.05829145347652969
B0006,22,IMF2,-0.20862089294687478
B0006,25,IMF2,-0.3232132773608121
B0006,27,IMF2,-0.40057560307943546
B0006,29,IMF2,-0.43859263525861525
B0006,31,IMF2,-0.4376054034399333
B0006,33,IMF2,-0.4038986707712025
B0006,35,IMF2,-0.33311820730354325
B0006,37,IMF2,-0.22814632095094795
B0006,39,IMF2,-0.0922423734937107
B0006,42,IMF2,0.05902888680830769
B0006,46,IMF2,0.175147944818482
B0006,50,IMF2,0.23296617224066518
B0006,54,IMF2,0.21916105427363497
B0006,58,IMF2,0.1368983319017596
B0006,62,IMF2,0.028604180396595298
B0006,66,IMF2,-0.0755406573330801
B0006,70,IMF2,-0.14125786714374297
B0006,74,IMF2,-0.13914923022127734
B0006,78,IMF2,-0.07238268561199761
B0006,82,IMF2,0.039525322201368306
B0006,86,IMF2,0.13225071280355769
B0006,90,IMF2,0.14508580847911082
B0006,94,IMF2,0.08715380505787709
B0006,98,IMF2,-0.0031220847498409756
B0006,102,IMF2,-0.08076418079457712
B0006,106,IMF2,-0.14225859628501658
B0006,110,IMF2,-0.19644699293999324
B0006,114,IMF2,-0.2350603663848167
B0006,118,IMF2,-0.2536930701455259
B0006,122,IMF2,-0.2580585723573313
B0006,126,IMF2,-0.24989630825572237
B0006,130,IMF2,-0.22940777286620886
B0006,134,IMF2,-0.20194823924584607
B0006,136,IMF2,-0.15779808050135305
B0006,140,IMF2,-0.08853635483984051
B0006,144,IMF2,-0.0028641041903796315
B0006,148,IMF2,0.0894799270817861
B0006,150,IMF2,0.17871426182823696
B0006,154,IMF2,0.24881426273871146
B0006,158,IMF2,0.2988205693663522
B0006,162,IMF2,0.3319458778868682
B0006,166,IMF2,0.3489646814701603
B0006,170,IMF2,0.3505824820341351
B0006,174,IMF2,0.33941379481732104
B0006,178,IMF2,0.3173199008136449
B0006,182,IMF2,0.28550348272259024
B0006,186,IMF2,0.24463353877771618
B0006,190,IMF2,0.1983635644039957
B0006,194,IMF2,0.14609009819304922
B0006,198,IMF2,0.09089260878818034
B0006,202,IMF2,0.033206029554929066
B0006,6,RES,1.0408003413418594
B0006,8,RES,1.043596681612901
B0006,10,RES,1.0430937209092106
B0006,12,RES,1.0392087513569566
B0006,14,RES,1.0322618711573914
B0006,16,RES,1.0226738800305337
B0006,18,RES,1.0108655776964066
B0006,20,RES,0.997257763875029
B0006,22,RES,0.982271238286422
B0006,25,RES,0.9663268006506079
B0006,27,RES,0.9498452506876064
B0006,29,RES,0.9332473881174389
B0006,31,RES,0.9169147407239915
B0006,33,RES,0.900954675932451
B0006,35,RES,0.8849669987752182
B0006,37,RES,0.8684344416705293
B0006,39,RES,0.8508397370366203
B0006,42,RES,0.8316656172917276
B0006,46,RES,0.8103948148540884
B0006,50,RES,0.7865100621419392
B0006,54,RES,0.759450740540908
B0006,58,RES,0.728482827306193
B0006,62,RES,0.6928289486603814
B0006,66,RES,0.6517117308260628
B0006,70,RES,0.6043538000258256
B0006,74,RES,0.5500202994644825
B0006,78,RES,0.4884019790097591
B0006,82,RES,0.42025426044767455
B0006,86,RES,0.3465881042982675
B0006,90,RES,0.2684159134105963
B0006,94,RES,0.18674585238383148
B0006,98,RES,0.10254749788224903
B0006,102,RES,0.016780419004146403
B0006,106,RES,-0.06959581515217873
B0006,110,RES,-0.155621635488429
B0006,114,RES,-0.24033747290630636
B0006,118,RES,-0.32278375830751377
B0006,122,RES,-0.40200092259375325
B0006,126,RES,-0.4770734190198752
B0006,130,RES,-0.5472796119564151
B0006,134,RES,-0.6120131749394383
B0006,136,RES,-0.6706856032081053
B0006,140,RES,-0.7228561056849934
B0006,144,RES,-0.7686747460263422
B0006,148,RES,-0.8084393015718103
B0006,150,RES,-0.842447549661054
B0006,154,RES,-0.8709972676337303
B0006,158,RES,-0.894386232829496
B0006,162,RES,-0.9129122225880087
B0006,166,RES,-0.9268733692929034
B0006,170,RES,-0.9365834341607109
B0006,174,RES,-0.9423899030585045
B0006,178,RES,-0.9445606104249189
B0006,182,RES,-0.9433399256772343
B0006,186,RES,-0.9389722182327283
B0006,190,RES,-0.9317018575086795
B0006,194,RES,-0.9217732129223682
B0006,198,RES,-0.909430653891072
B0006,202,RES,-0.8949185498320708
B0007,4,IMF1,0.0019431722169083662
B0007,6,IMF1,-0.0003552617832801582
B0007,8,IMF1,0.001776030103360445
B0007,10,IMF1,-0.006970648453998481
B0007,12,IMF1,-0.0014209101714964154
B0007,14,IMF1,-0.008102325278729746
B0007,16,IMF1,0.024192984403103267
B0007,18,IMF1,-0.03004992757409084
B0007,20,IMF1,0.006849106985451679
B0007,22,IMF1,0.031745767490058384
B0007,25,IMF1,-0.026519519502936045
B0007,27,IMF1,-0.009988229818648893
B0007,29,IMF1,0.002641533756798989
B0007,31,IMF1,0.020830910776774417
B0007,33,IMF1,0.04166566551742186
B0007,35,IMF1,-0.012802544320509233
B0007,37,IMF1,-0.0070384520346003275
B0007,39,IMF1,-0.07377161156475982
B0007,42,IMF1,0.077140002066203
B0007,46,IMF1,0.017063664478608916
B0007,50,IMF1,0.007166521838479088
B0007,54,IMF1,-0.04646176092514911
B0007,58,IMF1,-0.01594574406906006
B0007,62,IMF1,0.02537881779766734
B0007,66,IMF1,-0.023268019890821664
B0007,70,IMF1,0.018084283217147556
B0007,74,IMF1,0.037075954177170356
B0007,78,IMF1,-0.04314997400953878
B0007,82,IMF1,-0.04671387658942171
B0007,90,IMF1,0.051520795825714547
B0007,94,IMF1,-0.011146083622615204
B0007,98,IMF1,-0.005199519914566011
B0007,102,IMF1,-0.03425046383272422
B0007,106,IMF1,0.014025312073777342
B0007,110,IMF1,0.019090790082863057
B0007,114,IMF1,-0.010062998791113872
B0007,118,IMF1,0.002317382238007425
B0007,122,IMF1,-0.00467192484457809
B0007,126,IMF1,0.011270750714446076
B0007,130,IMF1,-0.024673085956748737
B0007,134,IMF1,0.04851919049219375
B0007,136,IMF1,0.019369507818104408
B0007,140,IMF1,-0.035004314630665855
B0007,144,IMF1,-0.09324961660041238
B0007,148,IMF1,-0.13105925973045932
B0007,150,IMF1,0.12570490453332211
B0007,154,IMF1,0.12030564793094654
B0007,158,IMF1,0.008469348473413098
B0007,162,IMF1,-0.03673613364631419
B0007,166,IMF1,-0.05846887912220467
B0007,170,IMF1,-0.01926082952619277
B0007,174,IMF1,0.025448431352842214
B0007,178,IMF1,0.015174632585032533
B0007,182,IMF1,-0.017993569141256598
B0007,186,IMF1,0.011393104128882774
B0007,190,IMF1,0.003893199344569937
B0007,194,IMF1,0.010870844342934227
B0007,198,IMF1,-0.012309680683688935
B0007,202,IMF1,0.013373302371419466
B0007,206,IMF1,-0.016363220134080238
B0007,210,IMF1,0.019944607084000948
B0007,214,IMF1,-0.022000718114877523
B0007,216,IMF1,0.020905869905072722
B0007,220,IMF1,-0.012861277834259461
B0007,224,IMF1,-0.01011980508629446
B0007,228,IMF1,-0.000668083774262058
B0007,232,IMF1,-0.00038473333962981955
B0007,236,IMF1,0.0029028490012466012
B0007,240,IMF1,-0.0012964307251732412
B0007,244,IMF1,-0.00024426137547513076
B0007,248,IMF1,0.006386644796086521
B0007,252,IMF1,0.013176241336488446
B0007,256,IMF1,0.01619022654598645
B0007,260,IMF1,-0.03311832875468476
B0007,264,IMF1,-0.012382072011495814
B0007,266,IMF1,0.04348209221759929
B0007,270,IMF1,-0.004902457150142654
B0007,274,IMF1,-0.049119894183538994
B0007,278,IMF1,-0.037407683661593506
B0007,282,IMF1,0.013897906816057666
B0007,286,IMF1,0.08490643245116261
B0007,290,IMF1,0.10297995625766365
B0007,294,IMF1,0.07234003913286198
B0007,298,IMF1,0.05289235670590986
B0007,302,IMF1,0.011880271785296386
B0007,306,IMF1,-0.10172609725465975
B0007,310,IMF1,-0.2980772541560449
B0007,313,IMF1,0.32506765732805387
B0007,316,IMF1,-0.22657654837913974
B0007,320,IMF1,-0.2988484473651076
B0007,324,IMF1,-0.3204371559894418
B0007,328,IMF1,-0.31546444188468464
B0007,332,IMF1,-0.24558412772863425
B0007,336,IMF1,-0.17459071333479445
B0007,340,IMF1,-0.1105384713226073
B0007,344,IMF1,-0.05621773979237022
B0007,348,IMF1,-0.02605191197200718
B0007,352,IMF1,0.02083852046555994
B0007,356,IMF1,-0.007028514818952181
B0007,360,IMF1,-0.05558273365135121
B0007,364,IMF1,-0.023075342238932612
B0007,367,IMF1,0.05885358612941065
B0007,371,IMF1,0.01031313642838262
B0007,375,IMF1,0.008132561944732046
B0007,379,IMF1,-0.0256426708447463
B0007,383,IMF1,-0.034395079107954876
B0007,387,IMF1,0.0061461455564804325
B0007,391,IMF1,0.033822510788509175
B0007,395,IMF1,-0.016296040358967253
B0007,399,IMF1,-0.02867861631845201
B0007,403,IMF1,-0.00019038986930557678
B0007,407,IMF1,0.025251400709874115
B0007,411,IMF1,0.009271629566083104
B0007,415,IMF1,-0.013393299653180557
B0007,419,IMF1,-0.04012952557448082
